iter	Passed	Remaining
0	0	167
1	1	164
2	1	164
3	2	164
4	2	162
5	3	171
6	4	170
7	4	170
8	5	169
9	5	170
10	6	169
11	7	168
12	7	166
13	8	165
14	8	164
15	9	163
16	9	162
17	10	161
18	10	160
19	11	159
20	11	158
21	12	160
22	13	159
23	13	158
24	14	157
25	14	156
26	15	155
27	15	155
28	16	154
29	17	154
30	17	155
31	18	154
32	18	153
33	19	152
34	20	151
35	20	151
36	21	150
37	21	149
38	22	149
39	22	148
40	23	148
41	24	148
42	24	147
43	25	146
44	25	145
45	26	145
46	26	145
47	27	144
48	28	144
49	28	144
50	29	143
51	30	143
52	30	142
53	31	141
54	31	140
55	32	140
56	32	139
57	33	138
58	33	138
59	34	137
60	35	139
61	36	138
62	36	137
63	37	137
64	37	136
65	38	135
66	38	135
67	39	134
68	39	133
69	40	133
70	41	132
71	41	131
72	42	131
73	43	131
74	43	130
75	44	130
76	44	129
77	45	128
78	45	128
79	46	127
80	46	126
81	47	126
82	48	125
83	48	125
84	49	124
85	49	123
86	50	123
87	50	122
88	51	121
89	53	124
90	53	123
91	54	122
92	54	122
93	55	121
94	56	120
95	56	120
96	57	119
97	58	120
98	59	119
99	59	119
100	60	118
101	60	117
102	61	117
103	61	116
104	62	115
105	62	115
106	63	114
107	64	114
108	65	114
109	65	113
110	66	112
111	66	112
112	67	111
113	68	111
114	68	110
115	69	110
116	70	110
117	70	109
118	71	108
119	72	108
120	72	107
121	73	106
122	73	106
123	74	105
124	74	104
125	75	104
126	76	103
127	77	104
128	78	103
129	78	102
130	79	102
131	79	101
132	80	100
133	80	100
134	81	99
135	82	99
136	82	98
137	83	98
138	84	97
139	84	96
140	85	96
141	85	95
142	86	94
143	87	94
144	87	93
145	89	94
146	89	93
147	90	92
148	90	92
149	91	91
150	92	90
151	92	90
152	93	89
153	93	88
154	94	88
155	95	88
156	96	87
157	96	86
158	97	86
159	97	85
160	98	84
161	98	84
162	99	83
163	100	83
164	101	82
165	102	82
166	103	82
167	103	81
168	104	80
169	104	80
170	105	79
171	105	78
172	107	78
173	108	78
174	108	77
175	109	77
176	110	76
177	111	76
178	112	75
179	113	75
180	114	75
181	114	74
182	115	73
183	115	72
184	116	72
185	116	71
186	117	70
187	118	70
188	118	69
189	119	69
190	119	68
191	120	67
192	121	67
193	121	66
194	122	65
195	122	65
196	123	64
197	123	63
198	124	63
199	125	62
200	125	62
201	126	61
202	126	60
203	127	60
204	128	59
205	129	59
206	129	58
207	130	57
208	131	57
209	131	56
210	132	55
211	133	55
212	133	54
213	134	53
214	134	53
215	135	52
216	135	51
217	136	51
218	137	50
219	137	50
220	138	49
221	138	48
222	139	48
223	140	47
224	140	46
225	141	46
226	142	45
227	142	45
228	143	44
229	143	43
230	144	43
231	144	42
232	145	41
233	146	41
234	146	40
235	147	39
236	147	39
237	148	38
238	148	38
239	150	37
240	150	36
241	151	36
242	151	35
243	152	34
244	152	34
245	153	33
246	154	33
247	155	32
248	155	31
249	156	31
250	156	30
251	157	29
252	157	29
253	158	28
254	159	28
255	159	27
256	160	26
257	160	26
258	161	25
259	162	24
260	162	24
261	163	23
262	163	23
263	164	22
264	164	21
265	166	21
266	166	20
267	167	19
268	167	19
269	168	18
270	169	18
271	169	17
272	170	16
273	170	16
274	171	15
275	172	15
276	173	14
277	174	13
278	174	13
279	175	12
280	175	11
281	176	11
282	177	10
283	177	10
284	178	9
285	178	8
286	179	8
287	179	7
288	180	6
289	181	6
290	181	5
291	182	4
292	182	4
293	183	3
294	183	3
295	184	2
296	185	1
297	185	1
298	186	0
299	186	0
